Student ID,Practice Problem,BERTTokens
1,"A container of m 200 kg rests on the back of an open truck. If the truck
accelerates at 1.5 m/s^2, what is the minimum coefficient of static friction
between the container and the bed of the truck required to prevent the container from sliding off the back of the truck?","['a', 'container', 'of', 'm', '200', 'kg', 'rests', 'on', 'the', 'back', 'of', 'an', 'open', 'truck', '.', 'if', 'the', 'truck', 'accelerate', '##s', 'at', '1', '.', '5', 'm', '/', 's', '^', '2', ',', 'what', 'is', 'the', 'minimum', 'coefficient', 'of', 'static', 'friction', 'between', 'the', 'container', 'and', 'the', 'bed', 'of', 'the', 'truck', 'required', 'to', 'prevent', 'the', 'container', 'from', 'sliding', 'off', 'the', 'back', 'of', 'the', 'truck', '?']"
2,"The m of the earth is 81% the m of the moon. The distance between the
centres of the earth and the moon is 60 times the radius of earth R = 6400 km.
Find the centre of m of the earth–moon system.","['the', 'm', 'of', 'the', 'earth', 'is', '81', '%', 'the', 'm', 'of', 'the', 'moon', '.', 'the', 'distance', 'between', 'the', 'centres', 'of', 'the', 'earth', 'and', 'the', 'moon', 'is', '60', 'times', 'the', 'radius', 'of', 'earth', 'r', '=', '640', '##0', 'km', '.', 'find', 'the', 'centre', 'of', 'm', 'of', 'the', 'earth', '–', 'moon', 'system', '.']"
3,"A boat of m 100 kg and length 3 m is at rest in still water. A boy of m
50 kg walks from the bow to the stern. Find the distance through which the
boat moves.","['a', 'boat', 'of', 'm', '100', 'kg', 'and', 'length', '3', 'm', 'is', 'at', 'rest', 'in', 'still', 'water', '.', 'a', 'boy', 'of', 'm', '50', 'kg', 'walks', 'from', 'the', 'bow', 'to', 'the', 'stern', '.', 'find', 'the', 'distance', 'through', 'which', 'the', 'boat', 'moves', '.']"
4,"Consider a particle of m m moving in one dimension under a force with the potential U(x) = k(2x^3 − 5x^2 + 4x), where the constant k > 0. Show that the point x = 1 corresponds to a stable equilibrium position of the particle.","['consider', 'a', 'particle', 'of', 'm', 'm', 'moving', 'in', 'one', 'dimension', 'under', 'a', 'force', 'with', 'the', 'potential', 'u', '(', 'x', ')', '=', 'k', '(', '2', '##x', '^', '3', '−', '5', '##x', '^', '2', '+', '4', '##x', ')', ',', 'where', 'the', 'constant', 'k', '>', '0', '.', 'show', 'that', 'the', 'point', 'x', '=', '1', 'corresponds', 'to', 'a', 'stable', 'equilibrium', 'position', 'of', 'the', 'particle', '.']"
5,"A wedge of mass M is placed on a horizontal floor. Another mass m is placed
on the incline of the wedge. Assume that all surfaces are frictionless, and the
incline makes an angle θ with the horizontal. The mass m is released from rest
on mass M, which is also initially at rest. Find the accelerations of M and m","['a', 'wedge', 'of', 'mass', 'm', 'is', 'placed', 'on', 'a', 'horizontal', 'floor', '.', 'another', 'mass', 'm', 'is', 'placed', 'on', 'the', 'incline', 'of', 'the', 'wedge', '.', 'assume', 'that', 'all', 'surfaces', 'are', 'friction', '##less', ',', 'and', 'the', 'incline', 'makes', 'an', 'angle', 'θ', 'with', 'the', 'horizontal', '.', 'the', 'mass', 'm', 'is', 'released', 'from', 'rest', 'on', 'mass', 'm', ',', 'which', 'is', 'also', 'initially', 'at', 'rest', '.', 'find', 'the', 'acceleration', '##s', 'of', 'm', 'and', 'm']"
6,"A car starts from rest at constant acceleration of 2.0 m/s2. At the same instant
a truck travelling with a constant speed of 10 m/s overtakes and passes the car.","['a', 'car', 'starts', 'from', 'rest', 'at', 'constant', 'acceleration', 'of', '2', '.', '0', 'm', '/', 's', '##2', '.', 'at', 'the', 'same', 'instant', 'a', 'truck', 'travelling', 'with', 'a', 'constant', 'speed', 'of', '10', 'm', '/', 's', 'over', '##take', '##s', 'and', 'passes', 'the', 'car', '.']"
7,"5 A man of height 1.8 m walks away from a lamp at a height of 6 m. If the man’s
speed is 7 m/s, find the speed in m/s at which the tip of the shadow moves.","['5', 'a', 'man', 'of', 'height', '1', '.', '8', 'm', 'walks', 'away', 'from', 'a', 'lamp', 'at', 'a', 'height', 'of', '6', 'm', '.', 'if', 'the', 'man', '’', 's', 'speed', 'is', '7', 'm', '/', 's', ',', 'find', 'the', 'speed', 'in', 'm', '/', 's', 'at', 'which', 'the', 'tip', 'of', 'the', 'shadow', 'moves', '.']"
8,"A car travels at a constant speed of 14.0 m/s round a level circular bend of
radius 45 m. ","['a', 'car', 'travels', 'at', 'a', 'constant', 'speed', 'of', '14', '.', '0', 'm', '/', 's', 'round', 'a', 'level', 'circular', 'bend', 'of', 'radius', '45', 'm', '.']"
9,"Show that the moment of inertia of a right circular cone of mass M, height h and radius ‘a’ about its axis is 3Ma^2/10.","['show', 'that', 'the', 'moment', 'of', 'in', '##ert', '##ia', 'of', 'a', 'right', 'circular', 'cone', 'of', 'mass', 'm', ',', 'height', 'h', 'and', 'radius', '‘', 'a', '’', 'about', 'its', 'axis', 'is', '3', '##ma', '^', '2', '/', '10', '.']"
10,"Calculate the moment of inertia of a hollow sphere of m M and radius R
about its diameter.","['calculate', 'the', 'moment', 'of', 'in', '##ert', '##ia', 'of', 'a', 'hollow', 'sphere', 'of', 'm', 'm', 'and', 'radius', 'r', 'about', 'its', 'diameter', '.']"
